id,title,description,category,priority,is_fake,is_duplicate,is_anomaly
30,Student threatened for filing complaint,After filing a complaint against a senior student the complainant received threatening messages on Instagram warning them to withdraw the complaint or face consequences.,HARASSMENT,CRITICAL,false,false,false
31,Scholarship amount not credited,My merit scholarship for the academic year was approved in August but the amount has not been credited to my bank account. I have followed up with the accounts office five times with no resolution.,FINANCIAL,HIGH,false,false,false
32,Duplicate fee charged for re-admission,I was charged the full admission fee again when continuing in the second year despite having already paid it. The accounts office acknowledged the error but has not refunded the excess amount.,FINANCIAL,HIGH,false,false,false
33,Examination fee deducted twice,My bank account was debited twice for the examination fee. The bank has confirmed the double transaction but the university accounts office has not processed the refund for four months.,FINANCIAL,HIGH,false,false,false
34,Fee receipt not issued,After paying the tuition fee for this semester I was not provided a fee receipt. When I asked for one the accounts office said the system was down and never followed up.,FINANCIAL,MEDIUM,false,false,false
35,Government fee waiver not applied,I am eligible for a state government fee waiver under the OBC category. All documents were submitted at the time of admission but the waiver has not been applied and I have been charged full fees.,FINANCIAL,HIGH,false,false,false
36,Library fine charged incorrectly,A library fine of Rs 800 was charged to my student account for books I returned on time. I have the return receipt but the library system shows the books as overdue.,FINANCIAL,LOW,false,false,false
37,Hostel fee increase without notice,The hostel fee was increased by 30% at the start of this semester with no prior notice or communication. Students were informed only when they came to pay and were given no explanation.,FINANCIAL,HIGH,false,false,false
38,Transport fee charged for non-users,Students who do not use the college bus facility are being charged a transport fee at the time of admission. Multiple requests to remove this charge have been ignored.,FINANCIAL,MEDIUM,false,false,false
39,Refund not processed after withdrawal,A student who withdrew from the course within the refund period has not received their tuition refund after five months. The accounts office provides conflicting information on each visit.,FINANCIAL,HIGH,false,false,false
40,Caution deposit not returned after graduation,My caution deposit paid at the time of admission has not been returned six months after graduation. The administration office keeps asking for additional documents that were already submitted.,FINANCIAL,MEDIUM,false,false,false
41,Degree certificate not issued after one year,I completed my graduation examination over a year ago. My degree certificate has still not been issued despite multiple follow-ups. I have been unable to apply for jobs or higher studies because of this.,ADMINISTRATIVE,HIGH,false,false,false
42,Migration certificate delayed,I applied for a migration certificate two months ago to pursue higher studies at another university. The application has been acknowledged but the certificate has not been issued.,ADMINISTRATIVE,HIGH,false,false,false
43,Incorrect name on marksheet,My name is spelled incorrectly on my second-semester marksheet. The correction request was submitted six months ago with all supporting documents but the corrected marksheet has not been issued.,ADMINISTRATIVE,MEDIUM,false,false,false
44,Enrollment number not generated,My enrollment number was not generated at the start of the academic year despite completing all admission formalities. This has prevented me from registering for examinations.,ADMINISTRATIVE,CRITICAL,false,false,true
45,College leaving certificate not provided,I am relocating and need a college leaving certificate to seek admission elsewhere. Despite multiple applications the administration office has not issued this document for three months.,ADMINISTRATIVE,HIGH,false,false,false
46,Identity card not issued to new student,I have been studying at this institution for four months and my student identity card has still not been issued. This is required for library access laboratory entry and examination hall entry.,ADMINISTRATIVE,MEDIUM,false,false,false
47,Timetable not communicated on time,The examination timetable for the upcoming end-semester exams was communicated only three days before the first paper. Students had inadequate time to prepare especially for practical examinations.,ADMINISTRATIVE,HIGH,false,false,false
48,Wrong course registered,The administration office registered me for the wrong elective course. When I raised this the office said the correction would incur a penalty fee which I should not be required to pay.,ADMINISTRATIVE,MEDIUM,false,false,false
49,Transfer certificate withheld,My transfer certificate is being withheld by the administration office because of a pending dues notice that I have already cleared. I have the payment receipt but the certificate is still not being issued.,ADMINISTRATIVE,HIGH,false,false,false
50,No response to RTI application,I filed an RTI application regarding my examination result discrepancy over three months ago. Neither an acknowledgment nor a response has been provided within the legally mandated thirty-day period.,ADMINISTRATIVE,HIGH,false,false,false
51,Hostel room allocated far from amenities,I was allocated a room in the farthest block of the hostel despite having a medical condition that requires regular access to the medical room. My request for a room change has been ignored for two months.,HOSTEL,MEDIUM,false,false,false
52,Unhygienic food served in hostel mess,The food served in the hostel mess is frequently undercooked and stored improperly. Several students have reported stomach infections in the past two weeks that are likely linked to the food quality.,HOSTEL,HIGH,false,false,false
53,Warden behaving inappropriately with students,The hostel warden has been making derogatory remarks to students about their study habits and lifestyle. The warden has also entered rooms without notice or permission on multiple occasions.,HOSTEL,HIGH,false,false,false
54,No hot water supply in hostel,The hostel has had no hot water supply for three weeks. This is a major concern particularly for students with health conditions and during the winter months when cold water is dangerous.,HOSTEL,MEDIUM,false,false,false
55,Rats and insects in hostel kitchen,The hostel kitchen area has a severe rat and cockroach infestation. Students who eat in the mess have raised this issue but the administration has not arranged for pest control.,HOSTEL,HIGH,false,false,false
56,Hostel curfew unreasonably strict,The hostel curfew of 7 PM is unreasonably strict and does not account for students with evening lab sessions library hours or college events that regularly run beyond that time.,HOSTEL,LOW,false,false,false
57,Hostel room not cleaned for months,The common bathrooms and corridors in Block D have not been cleaned properly for over two months. The cleaning staff is present but does minimal work and there is no supervisor checking quality.,HOSTEL,MEDIUM,false,false,false
58,Broken locks on hostel rooms,The locks on three rooms in Block B are broken and cannot be secured properly. Students in these rooms have raised safety concerns but maintenance has not addressed the issue after three weeks.,HOSTEL,HIGH,false,false,false
59,No study room in hostel,The hostel has no dedicated study room or quiet area. Students are expected to study only in their rooms which are often noisy due to shared accommodation with no noise regulations enforced.,HOSTEL,LOW,false,false,false
60,Hostel allocation not as promised,During admission I was assured of a single occupancy room due to a medical condition but was placed in a four-person room. The hostel warden says no single rooms are available despite the prospectus stating otherwise.,HOSTEL,MEDIUM,false,false,false
61,College bus consistently late,The college bus serving the eastern route has been arriving 30 to 45 minutes late every day for the past month. This causes students to miss the first period regularly.,TRANSPORTATION,MEDIUM,false,false,false
62,Bus driver behaving rashly,The driver of Bus Route 4 drives at unsafe speeds on the highway and frequently uses a mobile phone while driving. Several students have raised this with the transport office but no action has been taken.,TRANSPORTATION,CRITICAL,false,false,false
63,Route changed without notice,The college bus route was changed without any prior notification to students. Several students missed the bus for three consecutive days before the change was officially communicated.,TRANSPORTATION,MEDIUM,false,false,false
64,Overcrowding in college bus,The college bus on Route 7 carries nearly double its seating capacity every morning. Students are standing in the aisle which is both unsafe and extremely uncomfortable for a 45-minute journey.,TRANSPORTATION,HIGH,false,false,false
65,Transport fee collected but no bus facility,Students living in the northern zone were charged a transport fee but no bus service has been provided for that area. Three months of follow-up with the transport office has yielded no result.,TRANSPORTATION,HIGH,false,false,false
66,Bus not available for late evening classes,Students who have laboratory or elective sessions that end after 7 PM have no college bus facility to return home. This particularly affects female students who are then forced to arrange expensive private transport.,TRANSPORTATION,HIGH,false,false,false
67,Bus break-down with no replacement,The college bus broke down mid-route last Tuesday leaving forty students stranded on the highway for two hours. The transport office did not send a replacement vehicle and was unresponsive to calls.,TRANSPORTATION,HIGH,false,false,false
68,AC not working in college bus,The air conditioning in Bus Route 2 has not been working for over a month. During peak summer temperatures the bus interior reaches dangerous heat levels particularly for morning pick-ups.,TRANSPORTATION,MEDIUM,false,false,false
69,No bus for industrial visit,The college arranged an industrial visit but did not provide transportation. Students were told to arrange their own transport at the last minute causing significant inconvenience and additional expense.,TRANSPORTATION,MEDIUM,false,false,false
70,Bus pass not issued despite payment,I paid the bus fee in June but my bus pass has still not been issued. The transport office says the passes are in process but cannot give a timeline and I have been paying auto fare every day.,TRANSPORTATION,MEDIUM,false,false,false
71,Required book not available in library,The textbook recommended for the Database Management Systems course has been unavailable in the library for the entire semester. Only one copy exists for a class of one hundred and twenty students.,LIBRARY,MEDIUM,false,false,false
72,Library fine imposed for returned books,I was charged a fine for three books that I returned within the borrowing period. I have the receipt showing the return date but the library system shows them as overdue and the librarian refuses to correct it.,LIBRARY,MEDIUM,false,false,true
73,Library timings too restrictive,The library closes at 5 PM on weekdays and remains closed on weekends. Students who have classes or laboratory sessions during library hours cannot access books and reference material.,LIBRARY,LOW,false,false,false
74,Online library access not working,My login credentials for the online library portal and NPTEL access have not worked since the start of the semester. Multiple emails to the library and IT desk have gone unanswered.,LIBRARY,MEDIUM,false,false,false
75,Damaged books not replaced,Multiple textbooks in the library reference section are damaged with torn pages water stains and missing chapters. These have been reported to the librarian but have not been replaced or repaired.,LIBRARY,LOW,false,false,false
76,Library staff behaving rudely,The library staff routinely behave in a dismissive and rude manner toward students asking for assistance. A student was spoken to harshly in front of others for requesting a book that was not on the shelf.,LIBRARY,LOW,false,false,false
77,No silence maintained in library,The library has become a socializing space with no silence rules being enforced. Staff members themselves engage in loud conversations making it impossible to study during examination preparation periods.,LIBRARY,LOW,false,false,false
78,Reference books restricted to inside use only,Several key reference books required for final-year projects cannot be borrowed and must be used inside the library. Since the library closes early most students cannot access these books adequately.,LIBRARY,MEDIUM,false,false,false
79,Journal subscriptions expired,The library's subscriptions to several research journals including IEEE and Elsevier appear to have expired. Students attempting to access papers for their dissertations are being denied access.,LIBRARY,HIGH,false,false,false
80,No printing facility near library,The library has no printing or photocopying facility. Students who need to print reference materials must walk to a shop outside the campus which is not always accessible during college hours.,LIBRARY,LOW,false,false,false
81,Laboratory equipment not calibrated,The measuring instruments in the Physics laboratory have not been calibrated this academic year. Experiment results are therefore inaccurate and students are recording wrong observations which affects marks.,LABORATORY,HIGH,false,false,false
82,Chemicals stored improperly,Several chemicals in the Chemistry laboratory are stored without proper labels or safety data sheets. The chemicals are within reach of students and no safety training has been provided this semester.,LABORATORY,CRITICAL,false,false,true
83,No safety equipment in lab,Students working in the electronics laboratory are not provided with safety gloves or goggles. When requested the lab assistant said the equipment was not available and students should bring their own.,LABORATORY,HIGH,false,false,false
84,Lab attendance not recorded correctly,My laboratory attendance for the third semester is incorrectly recorded. I am shown as absent for sessions I attended and this has led to a shortage that will result in my being barred from the practical examination.,LABORATORY,HIGH,false,false,false
85,Outdated lab software,The software installed in the Computer Science laboratory is ten years old and does not support the programs required by the current syllabus. Students are unable to complete assigned practical tasks.,LABORATORY,HIGH,false,false,false
86,Laboratory sessions cancelled frequently,The laboratory sessions for the Electronics and Communication course have been cancelled six times this semester without rescheduling. This means students have completed less than half the required practical hours.,LABORATORY,HIGH,false,false,false
87,No first aid kit in laboratory,None of the science laboratories have a first-aid kit. When a student was injured by broken glassware last week there was no immediate medical aid available on the floor.,LABORATORY,CRITICAL,false,false,true
88,Unfair lab marks allocation,The laboratory marks for my section appear to be allocated based on personal familiarity with the lab instructor rather than on the quality of work. Students who spend time with the instructor outside class consistently score higher.,LABORATORY,HIGH,false,false,false
89,Lab manual not provided,The laboratory manual for the Microprocessors course was not distributed at the start of the semester. Students have had to conduct experiments without written instructions leading to inconsistent results.,LABORATORY,MEDIUM,false,false,false
90,Broken oscilloscopes in electronics lab,Seven out of twelve oscilloscopes in the Electronics laboratory are not functioning. Students have to share one working instrument among four people making it impossible to complete experiments in the allocated time.,LABORATORY,HIGH,false,false,false
91,No career guidance cell,The college has no functional career guidance or placement cell. Students in final year have no support for resume preparation interview training or connecting with recruiters.,OTHER,MEDIUM,false,false,false
92,Sports equipment not available,The sports room has not been stocked with equipment for over a year. Students who wish to participate in physical activities or prepare for inter-college tournaments have no facility to practice.,OTHER,LOW,false,false,false
93,Mental health support not available,There is no counsellor or mental health professional available on campus. Several students going through academic and personal difficulties have no one to turn to within the institution.,OTHER,HIGH,false,false,false
94,Anti-ragging committee not active,The anti-ragging committee has no visible presence on campus. The complaint box in the hostel has not been opened or checked in months and students are unaware of how to report incidents.,OTHER,HIGH,false,false,false
95,No grievance redressal mechanism visible,Students are not informed about the grievance redressal process at the time of admission. There are no posters notices or orientations explaining how to raise complaints.,OTHER,MEDIUM,false,false,false
96,Canteen food quality very poor,The canteen food is consistently undercooked stale and overpriced. Students who rely on the canteen for meals are left with poor nutritional options and no alternative on campus.,OTHER,MEDIUM,false,false,false
97,No disabled-friendly infrastructure,The campus has no ramps wheelchair access or disabled-friendly washrooms. A student using a wheelchair is unable to access several academic buildings and the library independently.,OTHER,HIGH,false,false,false
98,Delay in issuing hall tickets,Hall tickets for the end-semester examination were issued only one day before the first exam. Students were unable to verify information and correct errors in time causing exam-day confusion.,OTHER,HIGH,false,false,false
99,No notice board updates,The notice board outside the administrative office has not been updated in four months. Students miss important circulars and deadlines because information is only posted physically without any digital backup.,OTHER,LOW,false,false,false
100,Parking area insufficient,The college parking area is grossly insufficient for the number of students and staff. Students park on the road outside causing traffic disruption and there have been two vehicle theft incidents.,OTHER,MEDIUM,false,false,false
101,Professor not teaching properly,The professor just reads from slides without any explanation. Students are unable to understand the concepts.,ACADEMIC,MEDIUM,false,false,false
102,Internal marks not displayed,Our internal assessment marks have not been displayed on the notice board or portal as required by university rules.,ACADEMIC,MEDIUM,false,false,false
103,Guest lecturer did not attend,The guest lecturer scheduled for the seminar did not show up. No replacement or rescheduling has been communicated.,ACADEMIC,LOW,false,false,false
104,Plagiarism accusation without proof,A student was accused of plagiarism in their dissertation without being shown any specific evidence. The accusation has affected their grade and no formal hearing was held.,ACADEMIC,HIGH,false,false,false
105,Exam paper leaked before exam,There are credible reports that the question paper for the upcoming unit test was shared with certain students in advance by a faculty member.,ACADEMIC,CRITICAL,false,false,true
106,No feedback on assignments,Assignments submitted in the first month of the semester have still not been returned or graded. Students have no idea where they stand on internal assessment.,ACADEMIC,MEDIUM,false,false,false
107,Wrong marks entered in university portal,My end-semester examination marks were entered incorrectly in the university portal. The correct answer scripts are available but the portal still shows wrong marks.,ACADEMIC,HIGH,false,false,false
108,Elective course cancelled last minute,The elective course I had registered for was cancelled two weeks after the semester started with no alternative offered. I was automatically assigned a course I had not chosen.,ACADEMIC,HIGH,false,false,false
109,Lab record not checked for months,Laboratory records submitted three months ago have not been checked or returned. Students cannot prepare for practicals without feedback on previous work.,ACADEMIC,LOW,false,false,false
110,Insufficient lecture hours per week,The prescribed lecture hours per week for the core engineering subject are not being followed. Only two hours per week are being conducted against the required four.,ACADEMIC,HIGH,false,false,false
111,Broken tiles creating tripping hazard,The floor tiles near the entrance of Block B are broken and create a tripping hazard. Two students have already fallen. The maintenance department was informed two weeks ago with no action taken.,INFRASTRUCTURE,MEDIUM,false,false,false
112,No emergency exits marked,The academic building has no clearly marked emergency exits and no fire evacuation plan displayed. This is a serious safety violation that has been unaddressed for the entire academic year.,INFRASTRUCTURE,CRITICAL,false,false,true
113,Canteen ceiling leaking,The canteen ceiling has been leaking during rains and water drips onto the food serving area. This is a hygiene and safety concern that has been raised multiple times.,INFRASTRUCTURE,HIGH,false,false,false
114,Generator not working during load shedding,During scheduled load shedding the college generator does not activate for the laboratory block. Students are left in the dark during practicals that involve sensitive equipment.,INFRASTRUCTURE,HIGH,false,false,false
115,Poor ventilation in classrooms,The classrooms in the old academic block have no windows that open and the fans are insufficient. During summer months the temperature becomes unbearable and affects concentration.,INFRASTRUCTURE,MEDIUM,false,false,false
116,Inadequate lighting in parking area,The parking area behind the hostel is completely dark at night. Students returning from evening activities feel unsafe and there have been reports of theft in this area.,INFRASTRUCTURE,HIGH,false,false,false
117,Water supply cut for three days,The water supply to the hostel and academic block was cut for three days without any advance notice or alternative arrangement. Students could not wash cook or clean.,INFRASTRUCTURE,CRITICAL,false,false,false
118,Sewage overflow near laboratory block,A sewage line overflow near the laboratory block has created an extremely unhygienic environment. The smell is unbearable and there is a risk of disease. This has been reported and ignored for a week.,INFRASTRUCTURE,CRITICAL,false,false,true
119,Dustbins not emptied regularly,The dustbins in the corridors and classrooms are not emptied regularly leading to overflowing trash and foul odors. This reflects poorly on campus hygiene and has not been addressed.,INFRASTRUCTURE,LOW,false,false,false
120,Sports ground not maintained,The sports ground has large potholes and uneven surfaces. A student twisted their ankle during practice last week. The ground has not been maintained for over a year.,INFRASTRUCTURE,MEDIUM,false,false,false
121,Student verbally abused by senior faculty,A senior professor verbally abused a student in front of the entire class using language that was demeaning and unprofessional. Multiple students witnessed the incident.,HARASSMENT,CRITICAL,false,false,false
122,Lab assistant demanding money,The laboratory assistant is allegedly demanding informal payments from students to ensure their practical marks are recorded correctly. Three students have reported this privately.,HARASSMENT,CRITICAL,false,false,true
123,Peer pressure to change answers,During a group assignment a student was pressured by group members to change their submission to match incorrect answers. When the student refused they were excluded from the group.,HARASSMENT,MEDIUM,false,false,false
124,Student being stalked on campus,A female student is being followed and stalked on campus by another student. She has reported the behaviour to the warden but no action has been taken and the stalking continues.,HARASSMENT,CRITICAL,false,false,false
125,Professor singling out students,A professor consistently singles out and humiliates specific students during lectures asking them questions designed to embarrass them in front of the class.,HARASSMENT,HIGH,false,false,false
126,Derogatory comments about learning disability,A student with a diagnosed learning disability has been subjected to mocking comments by a faculty member regarding their pace of learning in front of other students.,HARASSMENT,HIGH,false,false,false
127,Group chat used to spread rumours,A private group chat is being used to spread false rumours about a student's personal life affecting their reputation and mental wellbeing. Screenshots have been documented.,HARASSMENT,HIGH,false,false,false
128,Faculty asking personal questions,A faculty member repeatedly asks students intrusive personal questions about their family finances and relationships during one-on-one academic sessions making students very uncomfortable.,HARASSMENT,HIGH,false,false,false
129,Student forced to apologize publicly,A student was forced by a professor to apologize in front of the entire class for questioning the professor's explanation during a lecture. The apology was publicly humiliating and unjustified.,HARASSMENT,HIGH,false,false,false
130,Anti-social element enters campus,A person with no student ID has been regularly entering the campus and has been seen intimidating students near the library. Security has been informed but the person continues to gain entry.,HARASSMENT,CRITICAL,false,false,true
131,Tuition fee paid but portal not updated,I paid my tuition fee for the second semester through online transfer two weeks ago. The payment has been debited from my account but the university portal still shows dues outstanding.,FINANCIAL,MEDIUM,false,false,false
132,Wrong amount shown in fee challan,The fee challan issued by the accounts office shows an incorrect higher amount compared to the published fee structure on the college website. I cannot understand the basis for the additional charges.,FINANCIAL,MEDIUM,false,false,false
133,Sports fee charged for non-participants,A sports development fee is being charged to all students including those who do not participate in any sports activity and have never used any sports facility.,FINANCIAL,LOW,false,false,false
134,Fellowship not credited despite approval,My AICTE fellowship was approved in September but the quarterly amount has not been credited to my account. The scholarship office says the funds are with the accounts department.,FINANCIAL,HIGH,false,false,false
135,No receipt for miscellaneous fee,I was asked to pay a miscellaneous development fee of Rs 2500 in cash at the administrative counter. No receipt was issued and the payment does not appear in my student account.,FINANCIAL,HIGH,false,false,true
136,Bank account update not processed,I updated my bank account details with the scholarship office in June for direct benefit transfer. The scholarship is still being sent to my old closed account.,FINANCIAL,MEDIUM,false,false,false
137,Penalty for late fee without prior notice,A late fee penalty was added to my account without any prior notification or grace period communication. I was unaware the deadline had changed and could not arrange funds in time.,FINANCIAL,MEDIUM,false,false,false
138,Exam fee paid but not registered,I paid the examination fee before the deadline and have the payment receipt. However I was not registered for the examinations and my name does not appear on the hall ticket list.,FINANCIAL,CRITICAL,false,false,true
139,Discrepancy in scholarship disbursal,The scholarship amount disbursed to students in my category varies significantly without any published justification. Some students received full amounts while others with the same income certificate received less.,FINANCIAL,HIGH,false,false,false
140,Security deposit never refunded,I vacated the hostel at the end of the last academic year and submitted all the required documents. My security deposit of Rs 5000 has not been refunded after eight months.,FINANCIAL,MEDIUM,false,false,false
141,Bonafide certificate delayed,I applied for a bonafide certificate required for my bank education loan three weeks ago. It has still not been issued and the bank is threatening to cancel my loan application.,ADMINISTRATIVE,HIGH,false,false,false
142,Exam schedule conflict not resolved,Two of my end-semester examinations are scheduled on the same date and time. I reported this clash to the examination section one month ago but no revised schedule has been issued.,ADMINISTRATIVE,CRITICAL,false,false,true
143,Course registration portal crashed,The online portal for course registration crashed on the last day of registration. Students who could not register were told to appear in person but the office was closed.,ADMINISTRATIVE,HIGH,false,false,false
144,Grade correction not processed,I applied for a grade correction with documentary evidence four months ago. The application was acknowledged but no action has been taken and my transcript still shows the wrong grade.,ADMINISTRATIVE,HIGH,false,false,false
145,Duplicate marksheet not issued,My original marksheet was lost by the examination section during processing. I applied for a duplicate over three months ago and it has still not been issued.,ADMINISTRATIVE,HIGH,false,false,false
146,Scholarship renewal form rejected incorrectly,My scholarship renewal form was rejected citing a missing document that was clearly attached to the submission. The scholarship office has not acknowledged the resubmission.,ADMINISTRATIVE,HIGH,false,false,false
147,Course completion certificate not issued,I completed a certification course offered by the college six months ago. The completion certificate has not been issued despite repeated requests to the continuing education department.,ADMINISTRATIVE,MEDIUM,false,false,false
148,Wrong department shown on student ID,My student identity card shows the wrong department. This has caused issues during laboratory access and examination entry where my identity is questioned.,ADMINISTRATIVE,MEDIUM,false,false,false
149,Alumni registration not accepted,I have been trying to register on the college alumni portal for networking and job opportunities. My registration has been pending for four months with no response from the alumni cell.,ADMINISTRATIVE,LOW,false,false,false
150,Affiliation certificate not provided,My employer has requested an affiliation certificate from my college but the administrative office has not issued it for three months. This is delaying my background verification process.,ADMINISTRATIVE,HIGH,false,false,false
151,Hostel mess serving non-vegetarian food to vegetarians,The hostel mess has repeatedly served non-vegetarian food in the vegetarian section despite multiple written complaints. Several students have strong dietary restrictions being violated.,HOSTEL,HIGH,false,false,false
152,No medical facility near hostel,There is no medical room or nurse on duty in the hostel premises. When a student fell ill at midnight the nearest medical help was a 20-minute auto ride away.,HOSTEL,HIGH,false,false,false
153,Warden denying night passes,The hostel warden is denying night out passes to students who need to attend family emergencies citing unofficial rules not mentioned in the hostel manual.,HOSTEL,MEDIUM,false,false,false
154,Hostel gate locked before prescribed time,The hostel gate is being locked at 8 PM instead of the prescribed 10 PM. Students returning from the library or evening sessions are locked out and forced to climb walls.,HOSTEL,MEDIUM,false,false,false
155,Room allocation based on favouritism,There are credible allegations that single occupancy rooms and rooms with better amenities are being allocated to students known to the warden through personal connections.,HOSTEL,MEDIUM,false,false,true
156,Electrical wiring exposed in hostel room,The electrical wiring in Room 314 is exposed and has given electric shocks to two students already. Maintenance was informed immediately but has not sent anyone for a week.,HOSTEL,CRITICAL,false,false,true
157,No laundry facility in hostel,The hostel has no laundry facility or washing area with running water. Students are forced to wash clothes in bathrooms which are shared among twenty people.,HOSTEL,LOW,false,false,false
158,Guests allowed inside without checks,The hostel does not verify the identity of guests entering the campus. Unknown individuals have been seen entering the hostel corridors creating security concerns for residents.,HOSTEL,HIGH,false,false,false
159,Hostel internet speed very slow,The internet bandwidth allocated to the hostel is so insufficient that even loading course material takes several minutes. Online examination platforms time out regularly.,HOSTEL,MEDIUM,false,false,false
160,Mess food portions very insufficient,The food portions served at the hostel mess have been reduced significantly without any corresponding reduction in mess fees. Students are leaving meals hungry.,HOSTEL,MEDIUM,false,false,false
161,Bus driver not following designated route,The college bus on Route 3 is taking a longer route than designated adding thirty extra minutes to the journey. The driver has not been responsive to passenger requests to follow the correct route.,TRANSPORTATION,LOW,false,false,false
162,No bus shelter at pickup point,The designated college bus pickup point has no shelter. Students wait in the open sun or rain for up to thirty minutes every morning with no protection from the elements.,TRANSPORTATION,LOW,false,false,false
